section,question_number,answer_number,speaker_name,role,company,content,year,quarter,is_pleasantry,source_pdf
presentation,,,Georges Elhedery,Group Chief Executive,HSBC,"Welcome, all, to today’s call. I’m joined by Pam, our new Group CFO. We’re delighted to be here in Hong Kong, the city where HSBC was founded 160 years ago. Our history and heritage stand us in good stead in so many ways. Adapting to new economic realities and technologies is what we have always done. It brings out the best in our people and culture, especially when acting as a trusted advisor to our customers as they navigate the world’s economic uncertainties and look towards new opportunities. Before Pam takes you through the fourth-quarter numbers, I will cover four items. First, I will go through our full-year 2024 results. Second, I will set out the changes implemented over the past few months to create a simple, more agile, focused bank addressing the ways we operate in a fundamental way. Third, I will describe in some detail the solid foundations we are building on. For example, I will share with you what we plan to do next in order to deliver sustainable strategic growth and meet our return targets. Starting with the full-year numbers, 2024 performance was strong. We delivered record profit before tax of $32.3 billion, or $34.1 billion excluding notable items. We generated a 14.6% return on tangible equity, or 16% excluding notable items, in line with our mid-teens target. We announced a total of $26.9 billion of distributions to our shareholders in respect of 2024, including 87 cents per share of dividends and $11 billion of share buybacks. When I took the role in September, my priority was to inject energy and intent in the way we deliver our strategy, while maintaining continued focused cost discipline. At our third-quarter results, I committed to provide you with more detail on the expected benefits from our organisational simplification. We have simplified HSBC in two important ways. We have elevated and empowered our two home markets of Hong Kong and the UK and our Wealth proposition, and we have combined our two wholesale businesses. In doing so, we have eliminated large parts of our complex matrix governance structure. This significantly improved operating model is now led by a tighter Group Operating Committee. It has clarity of accountability, fewer management lines and layers, reducing the need for the number of committees we previously ran across the bank. This has increased our agility. As an illustration, previously, every dollar of revenue we generated had at least two accountable executives at the Group Executive Committee. Today, around 60% of our revenue has a single accountable executive at the Group Operating Committee. This will empower our people to make faster decisions, collaborate better and innovate for the benefit of our customers. In short, we’ve simplified our structure and we’ve aligned it to our strategy. This will enable us to deliver around $1.5 billion of annualised savings by the end of full-year 2025, primarily through de-duplication of roles. This represents circa 8% reduction of our global staffing costs. This will cost around $1.8 billion in severance and other up-front costs. Those $1.5 billion savings will have no meaningful impact on revenue and they will be taken straight to the bottom line. Separately, we will redeploy c.$1.5 billion of costs from non-strategic or low-returning activities as incremental investments to our priority growth areas, where we have clear competitive advantages and generate accretive returns. We have started to do this by announcing that we will begin to wind down our M&A and ECM activities in the UK, Europe and the US. I will cover our priority growth areas shortly. These actions give us the confidence to target a mid-teens return on tangible equity in 2025, 2026 and 2027. Each of our four businesses are firmly rooted in our core strengths. In our two home markets of Hong Kong and the UK, we have two strong businesses. In both businesses, we serve Personal Banking customers as well as Commercial Banking and Small and Medium Enterprises. We are a leading bank and are growing market share in key products. Importantly, in both, we are profitable and delivering very good returns. As for the large corporations with global banking needs in both home markets, alongside individuals with multi-country personal financial needs, they will be served by our two international businesses, as I am about to set out. Corporate and Institutional Banking – CIB – is a global wholesale bank with significant competitive advantages. It has a powerful deposit franchise with strong financing capabilities, and it also has a market-leading transaction bank, leveraging our global network. As the world’s number one trade bank for the last seven consecutive years, we are exceptionally well placed to help our customers and capture global and intra-regional trade flows as supply chains reconfigure, new trade routes emerge, economies grow, and our customer expectations evolve. CIB is also well positioned to help entrepreneurs secure the capital they need to build the businesses of the future and help our customers decarbonise. International Wealth and Premier Banking – IWPB – is ideally placed to capture the increasing number of affluent and high-net-worth customers, especially those with international banking needs who seek new investment opportunities to help them protect and grow their wealth. Our recognised brand, financial strength and complementary footprints across Asia and the Middle East reinforce our position in the world’s fastest growing wealth markets. Let me now highlight our distinctive strengths, starting with our high-quality revenue streams. Our franchise generates resilient recurring revenue from three key sources. As you can see, in 2024, two-thirds of revenue was from Banking NII. This is the result of the strong deposit and lending positions in each of our four core businesses. As you know, we have built up the structural hedge to protect this revenue stream from falling interest rates. Pam will speak more about this. The remaining third was from fee and other income. Around a half of this was from our market-leading Wholesale Transaction Banking business, which is built on our global network, covering 85% of global trade and capital flows, including high-growth markets such as India, ASEAN, mainland China, the Middle East and Mexico. Around a third was from Wealth, which I will talk about shortly. Taken together, this means that more than 90% of our revenue comes from three high-quality streams. Moving to our strong deposit franchise, our customers trust the strength of our balance sheet and have chosen us to look after their deposits. This gives us a highly liquid and profitable balance sheet, which provides greater flexibility through the cycle. Within our $1.7 trillion deposit base, we have large deposit surpluses in each of our four businesses, giving us the funding capacity to support our clients. Turning now to our high-quality loan portfolio, we have always maintained a conservative approach to risk management, as evidenced by the quality of our loan portfolio. In the period since 2018, we have experienced a global pandemic, an energy crisis and the real-estate cycle in the US, in Hong Kong and in mainland China. Our average annual ECL charge over that period was 32 basis points of average gross loans, which is well within our medium-term planning range of 30-40 basis points. On our disciplined capital management, over the last two years, our capital generation has enabled us to return $47.7 billion to our shareholders. This comprises of $27.7 billion of dividends and $20 billion of share buybacks, including those announced today. Through the rolling series of share buybacks we have undertaken since the start of 2023, we have now repurchased 11% of our year-end 2022 issued share count. We are targeting a mid-teens return on tangible equity in each of the next three years. The external environment presents us with opportunities but also challenges. The interest rate outlook is benign but remains volatile. We can adapt to changing patterns of trade and economic growth, but there is a risk of disruption, and we have a major opportunity in wealth in Asia and the Middle East, but it is a highly competitive space. Despite these challenges, we have levers we can pull on to support us to deliver on our target. We’re confident we can take decisive action to do so. These levers are, first, driving operating leverage as an ongoing process through cost efficiency and optimisation, as well as continuous improvements in productivity, second, dynamic balance sheet management and capital allocation, which I’ll cover shortly, and third, investing for strategic long-term growth. Let me turn to this next. We're creating the capacity to invest for growth in the business and to drive efficiencies. We’re focusing our growing investment pot, as shown on this and the next slide. First, in our home markets, we intend to expand the number of wealth centres and enhance our wealth capabilities in Hong Kong, which is set to become the world’s leading cross-border wealth centre. We attracted around 800,000 new-to-bank personal banking customers in Hong Kong last year, and we are well positioned to capture growth opportunities as international customers choose Hong Kong as their cross-border wealth hub. In the UK, we plan to also grow the Wealth business, and we plan to improve our SME covering and proposition. This is an extremely attractive and profitable segment, where we will intensify our focus. Second, in CIB, we intend to leverage our network and further enhance our transaction banking capabilities, including in high-growth markets such as mainland China, ASEAN, India, the Middle East and Mexico. We are also looking to scale up our broad loan origination capabilities by underwriting more and distributing more to our institutional and wealth clients. This ability to leverage our loan origination for the purpose of distribution will give us larger opportunities to generate fee income, improve capital efficiencies and, in turn, improve CIB returns. Third, in IWPB, we intend to accelerate the wealth build-up in our home markets, and particularly also in key growth markets such as Singapore, the UAE, India and mainland China. In each of these, we aim to accelerate the hiring of relationship managers, establish new wealth centres, and expand our product offering. While we are benefiting from an underlying growth in this segment, particularly in Asia and the Middle East, we also aim to grow our market share by, first, better driving wealth penetration with our own wholesale or Premier customers, second, better capturing cross-border flows of our own customers in their outbound location, and third, increasing the proportion of mandates within our invested assets. Finally, underpinning all of this and across the Group, we aim to seize the opportunity of AI and generative AI. Our flagship initiatives will focus on improving customer service through both our mobile apps and our contact centres. We also intend to increase tech productivity with tools such as coding assistants, and improve process efficiency in areas such as onboarding, KYC, credit applications and many others. Mid-teens returns will give us a range of attractive options for capital deployment and will drive EPS and DPS growth over time. As the illustration on the right-hand slide of the slide demonstrates, a mid-teens return on tangible equity will enable us to deliver the 50% dividend payout ratio in 2025, and still have sufficient capital to grow the balance sheet, buy back shares, or both. Supporting our customers will always be our first priority, and we expect our loan book to grow in the mid-single digits over the medium- to long-term. However, fluctuations in customer demand for credit mean our loan book may grow at an uneven pace. Share buybacks remain our preferred method of returning excess capital to our shareholders, because they drive growth in EPS and DPS. For instance, in 2024, while our earnings grew by c.2%, our earnings per share grew by c.9%, reflecting the benefit from the c.6% reduction of share count through share buybacks in this year. So in summary, we’ve simplified the Group and, along with our continued focus on costs, are committed to delivering c.$1.5 billion savings to the bottom line. We’re focused on delivering for our customers by capturing growth opportunities where we have a clear competitive advantage and accretive returns. And we’re eliminating, over the medium term, an additional c.$1.5 billion of costs from non-strategic or low-returning activities, and redeploying them into these priority growth areas. We are targeting a mid-teens return on tangible equity in each of 2025, 2026 and 2027. With that, let me hand over to Pam.",2024,Q4,False,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
presentation,,,Pam Kaur,Group Chief Financial Officer,HSBC,"Thanks, Georges. Thank you, everyone, for joining. I would like to begin by sharing my approach as Group CFO. In short, I’m fully focused on discipline, performance and delivery. Discipline means prioritising with precision, maintaining strong cost control, and ensuring investment rigour for growth. Performance means gearing our financial strategy towards achieving our mid-teens returns target. Delivery means ensuring we remain agile and resilient, enhance operating leverage, and are always well positioned to support our customers. Let me now turn to the Q4 numbers. Starting with the highlights, profit before tax was $2.3 billion, or $7.3 billion excluding notable items. This strong performance enabled us to announce a further $8.4 billion of distributions in respect of the fourth quarter. This consists of a fourth interim dividend of 36 cents per share, and a share buyback of up to $2 billion, which we intend to complete before our first-quarter results in April. On this slide, you can see the impact of notable items on year-on-year revenue and profit growth. This was principally the $5.2 billion related to historical foreign exchange translation losses from the Argentina disposal. Excluding these, profit before tax was up 10% on the fourth quarter of last year. Excluding notable items, revenue of $16.5 billion was up $1.2 billion on the fourth quarter of last year, driven by Banking NII and a strong performance in Wealth. On Banking NII, excluding the impact of Argentina and other notable items, the Banking NII run rate remained broadly stable. Deposit growth and benefits from the structural hedge were partially offset by lower interest rates. Looking ahead, we expect Banking NII of around $42 billion in 2025. To be clear, this is a change to the way we have given you guidance before. ‘Around $42 billion’ is not an underpin. It is our expectation at the present time, based on the current market rates outlook and our own projections. We also want to give you some additional detail on the structural hedge. As you know, we have been building up the structural hedge to help manage our interest rate sensitivity. During 2024, we increased the notional balance by around $50 billion. We also extended the duration from 2.8 years to 3.1 years. This contributed to a further reduction in the interest rate sensitivity of our Banking NII last year. We have reduced our sensitivity to a 100-basis-point rate shock from around $7 billion in June 2022 to around $2.9 billion at the end of 2024. We’re also providing additional disclosures on the expected reinvestment profile of the structural hedge. We expect to reinvest around $95 billion of assets in each of 2025 and 2026, from a current average yield of around 2.8%. We also expect to reinvest around $90 billion of assets in 2027, from a current average yield of around 3.4%. Moving to fee and other income, Wholesale Transaction Banking was stable on last year’s fourth quarter. Excluding the impact of strategic transactions, primarily the sale of Canada, it was up by 3%, as we continue to leverage our global network and capitalise on our position as the world’s number one trade bank. The standout performance was again in Wealth, which was up 27% on the same quarter last year. This was our fourth consecutive quarter of double-digit year-on-year growth. I’m pleased we added 234,000 new-to-bank Personal Banking customers in Hong Kong in the quarter. This brings the total number added in 2024 to 799,000, as Hong Kong continues to grow in importance as a cross-border wealth hub. I’m also pleased with the strong momentum in the business in January, which is in line with previous years. All of this gives us confidence that we can continue to grow this business further. Our medium-term target is to continue to grow fee and other income by double-digit CAGR. There are three trends that underpin this ambition. First, the multi-year growth in new-to-bank customers in Hong Kong underlines that the city is on track to becoming the number one cross-border wealth hub before the end of this decade. Our past experience suggests that new customers grow their total balances and wealth products over time, so this is expected to provide a tailwind. Second, the strength of our business in key international wealth hubs, particularly Hong Kong, has enabled us to grow invested assets in Asia at 17% CAGR. This was also the key driver of our 13% CAGR growth in invested assets at the Group level. There have also been strong multi-year inflows of net new invested assets, with Asia accounting for the majority. Finally, our CSM balance is a third bigger than it was two years ago, despite the reclassification of our French life insurance business in the fourth quarter. This reflects continued year-on-year growth in new business CSM from higher volumes, particularly in Hong Kong. As you know, the CSM balance is a store of future earnings, which released into the P&L at between 9% and 10% in the last two years. All things being equal, this means that future earnings growth has been built in. Also, last year the value of new business CSM was substantially greater than the CSM released to the P&L. On credit, our fourth quarter ECL charge was $1.4 billion. $1 billion of this was in wholesale, including around $300 million from two clients, one in the UK and one in mainland China commercial real estate sector. Overall, our portfolios in our home markets remained strong. This brought our 2024 charge to 36 basis points of average loans, which is within our medium-term planning range of 30 to 40 basis points. We expect our 2025 charge to be within our medium-term planning range. On costs, we are committed to deliver $1.5 billion of simplification savings from our reorganisation to the bottom line, of which around $0.3 billion will be recognised in our 2025 P&L. We expect to incur around $1.8 billion of severance and other up-front costs by the end of 2026. The bulk of these costs will be incurred this year. Separately, we are also aiming to reallocate a further around $1.5 billion of costs from non-strategic activities to priority growth areas. You will have seen that we have announced that we will begin to wind down our ECM and M&A activities in the UK, Europe and the US while refocusing on Asia. Those businesses were not materially profitable and exiting them will make around $300 million of costs available for reinvestment in our priority growth areas. The slide also shows some businesses that we have recently agreed to dispose of, German Private Banking and French life insurance, to which I’ll add the sale of our retail banking operations in Bahrain, which was announced today. These were not aligned with our four businesses where we will focus our investment dollars and our time. Through these actions, we are creating investment space in our priority areas within our strict cost discipline. As Georges said, these include Wealth in Asia and the Middle East, UK SME coverage and wholesale transaction banking. Entry to the extra investment list is a high hurdle requiring strategic alignment and financial returns. As we continue to work through exits of low return and non-strategic activities, we are confident the investment dollars they provide will deliver a higher return to the bank. The actions taken last year mean that 2024 costs were in line with our guidance of around 5% growth on a target basis. We remain fully committed to cost discipline. We expect 2025 costs to grow by around 3% compared with 2024 on a target basis, which excludes notable items and the direct costs of the Canada and Argentina disposals. Our guidance of around 3% growth includes up to 4% underlying growth from inflation and investment, partly offset by around $0.3 billion of efficiency cost savings that we expect to realise this year. On loans and deposits, loan balances were stable. Deposits were up 3% in the fourth quarter. This included an increase in Hong Kong supported by customer growth as well as seasonality. As we have said before, I would caution you against annualising that number. Our CET1 ratio was 14.9%, above our target range of 14% to 14.5%. We expect the buyback of up to $2 billion announced today to have an impact of around 0.2 percentage points in the first quarter. We have reclassified our $7 billion legacy French home loan portfolio as hold-to- collect-and-sell in the first quarter. This will lead to recognition of an estimated $1 billion pre-tax loss in other comprehensive income, equivalent to around 0.1 percentage points of CET1. In summary, we have set out our current expectations in respect of 2025 and the medium term, but our key target is mid-teens return on tangible equity in each of the next three years. We will run the bank to deliver this. Neil, can we go to",2024,Q4,False,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
qa,,1.0,Neil Sankoff,management,HSBC,"Thanks, Pam. We’ll start with questions from the room. Please just wait for the microphone and remember to say your name and the name of your firm. Thank you.",2024,Q4,False,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
qa,1.0,,Gurpreet Singh Sahi,Analyst,Goldman Sachs,"Thank you. If I can have two, please, the first is on CIB. Thank you for the 14% trailing RoTE. So with the cost saves, etc, where do we expect the CIB RoTE to trend over the next couple of years and how would the management think about incremental capital allocation in that business division? I know that interest rates are having an impact. So implied question is - let’s say interest rates were a lot lower and payments, cash management, etc, earn us less. And then the second one is on International Wealth and Premier Banking. Thanks, again, for the 16% RoTE. So how should we think about incremental technology or new apps or gaining market share in the cross-border area as it relates to International Wealth, given that the RoTE is not so high? For example, Zing and those kinds of apps, where we were looking at competing with the fintech – how competitive would we want to be? Thank you so much.",2024,Q4,True,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
qa,,1.0,Georges Elhedery,management,HSBC,"Thank you very much, Gurpreet. I will handle the two questions. On CIB, we haven’t given specific medium-term returns for CIB. As Pam said, we’ve given a bank-wide target of mid-teens return on tangible equity for 2025, 2026 and 2027. We haven’t been business-specific, but let me give you some indications of how we’re looking at the business. First, this business will benefit from the largest of the reorganisation-related cost saves because this business is the result of the merger of two wholesale businesses and, as per any merger, you would expect a lot of cost synergies in areas where we had duplicative activities, be it mostly back-office activities that are duplicative where we will achieve the savings. This business also will benefit– we called it also the investment space – from additional capital allocation efficiencies. We will be looking for more originate and distribute model. We will be looking to churn the balance sheet more, sweat the balance sheet more, drive higher earnings and fee income from this balance sheet and create better efficiency in the capital, and therefore we have a number of activities that will support this business’s return on tangible equity performance. Remember also this business is a leading business in wholesale transaction banking. We’re the largest trade bank in the world for seven consecutive years. We’re a top-two bank in payments and a top-two bank in foreign exchange. We’re the largest bank in securities services across Asia and the Middle East, so we’re benefiting from an amazing transaction banking capability. We’re also benefiting from an amazing deposit franchise. As you’ve seen, this business is in the 50s percent loan-to-deposit ratio, and that is a highly stable and highly profitable proposition. So a lot of investment in this business is to support this direction of travel. I didn’t mention the activities such as debt capital markets, etc, which also remain core in the wider capital solutions we provide to our customers. On your second question about IWPB, I think you have to look at this business as one of the largest growth engines of this firm. Starting with Hong Kong, Hong Kong is on track to become the world’s largest cross-border wealth hub, ahead of Switzerland, by the end of this decade. We’re talking a few years. 800,000 new-to-bank customers, and we see this trend continuing. Then you look at various other parts of our network. Singapore is a major financial hub. The UAE has become a major wealth hub. We are the leading international wealth provider in mainland China and in India. So we continue to invest in these areas, and that investment will come in all forms, like more relationship managers, more wealth centres, more products on the shelf, more technology capabilities, and therefore, you have to expect that a lot of investment will go to this business, but this business is exhibiting already double-digit growth. This business, Wealth in particular, has grown more than 20% year on year, and if you look at Asia alone our Wealth business in 2024 has grown more than 30% year on year, and therefore it deserves a lot of investment, even if that means we will eat a little bit on our return growth because we want to really secure our future as a leading provider, and our brand in parts of the world, such as Asia and the Middle East, is frankly second to none and our capability to attract this. Cross-border is a very important area for us. Frankly, we have to punch at our weight. We’re punching below our weight in cross-border. Our customers are with us in a given location, and then we lose them as their wealth or part of their wealth moves to another location. By just setting the right referral mechanisms, the product capabilities cross-border, the internal incentives, there is so much we can capture. It’s our own customers. So the reach is fairly easy. It’s a self-help mechanism that we’re trying to just recover on. As for Zing, so Zing was a fantastic technology platform which we built and were rolling out to non-clients that we were building from scratch and built a few tens of thousands. What we did is we flipped it over its head, and we’re bringing in the technology platform right in the core proposition. As we roll this technology platform within our core proposition in the UK, 15 million clients will be able to benefit from it practically straight away, and we shouldn’t be preventing that. That, on the contrary, accelerates our acquisition of international customers. And then, as we start thinking, rolling these new technologies widely in our Wealth business, there’s a lot of potential we can get there. And that is a much faster gain than trying to build it from scratch in an area where we have non-customers working with a different brand than our very strong brand, HSBC. Thank you, Gurpreet.",2024,Q4,True,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
qa,,,,,,"NEIL SANKOFF: Let’s take a couple from the Zoom, and then we’ll come back with Kunpeng and Jeremy. We’ll take our first question from Kian Abouhossein from JP Morgan. Please, so we can get to as many of you as possible, please limit yourselves to two questions each. Thank you.",2024,Q4,False,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
qa,2.0,,Kian Abouhossein,Analyst,JP Morgan,"Hi. Thanks for taking my questions. The first one is related to the $1.5 billion reallocation of costs. I just wanted to understand a bit if you could talk around the revenues associated, the capital and the risk-weighted assets, so we get a bit of an idea of the optimisation of this capital, and secondly, also what the return on investment on this that you expect — you mentioned a high hurdle rate. And then the second question is more general to you, Georges. I mean, you are a CIB guy; you think about curveball issues all the time, spillover effects. So I’m quite interested about how you are planning for tariffs within the Group, and in particular how you’re thinking about the curveballs, not the direct impacts, but the indirect impacts that are impacting you from CRE to Wealth growth, etc, FX, and how you’re basically putting that in your planning on your outlook and sensitivities around that. Thanks.",2024,Q4,True,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
qa,,1.0,Georges Elhedery,management,HSBC,"Thank you, Kian. Okay. I’ll take the two questions, but if there are more details, additional granularity on CRE, I’m sure Pam can handle that, but I’ll just give you a general sense. So on your first question, $1.5 billion reallocation of costs, so what we did say is we would reallocate it from non-strategic or low-returning activities into activities where we have a competitive edge, where we have better returns, and where we have opportunities to grow. So you have to look at this as returns incremental. Just as an illustration, the wind-down of our M&A and ECM activities in the UK, US and Europe will give us $300 million of saves as we achieve them, that we can redeploy elsewhere. This cost was generating broadly break-even profits, so we’re marginally profitable in these activities. We do expect these to give us a much higher return as they’re reinvested, and we haven’t quantified that, but the expectation is that there’s an accretion of return. Second, if you look at the areas we’re looking to invest in, wealth, transaction banking, as big callouts, they are actually none or low balance sheet-consuming businesses. They’re materially fee and other income-driving businesses, with low, if any, impact on RWA growth. And if you look at the SME business, this business is essentially liability-driven and transaction banking- driven. The loans portion of this business is relatively small. The loan to deposit ratio is in the low-teens percentage points, which means, again, it’s a low RWA impact, high in Banking NII from deposits or transaction banking, but low RWA impact. In terms of your CIB curveball question, look, tariffs are not a new feature of global trade. There has always been various forms of tariffs on various products along various corridors, and we’ve always navigated those with our clients and supported them along the route. I think what’s changed now is maybe the speed at which the landscape will be evolving, the speed at which we may see new tariffs or changes in tariffs. But with the bank present on 85% of the trade corridors, with our global network, with our deep knowledge in all the markets where we operate, deep understanding of local rules and regulations, deep understanding of global rules and regulations, we’re actually very well placed to support our customers adjust and position their businesses to navigate these tariffs. Now, I add to that also, remember, most of the jurisdictions we operate in have pro-growth government policies. The UK is a good example, pro-growth government policy; the US is a very good example;. mainland China, pro-growth initiatives, consumer support initiatives. You look at Hong Kong, the removal of the cooling off measures on the commercial real estate or real estate in general. These measures have been effective, and we’re seeing the benefits in the economy and economic growth. So, there are a number of positive factors that also we can benefit from. We’ve seen that in January, by the way. The start of this year has been very encouraging. And look, the idea of all the simplification work we’ve done is that so we are simple, so we are agile, and agile means we can dynamically react and support our customers. And we will adapt quickly. We will react. We will make sure that we’re supporting our customers along these journeys. Thank you, Kian.",2024,Q4,True,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
qa,,,,,,"NEIL SANKOFF: Let’s take one more from the call. Ben Toms, from RBC.",2024,Q4,False,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
qa,3.0,,Benjamin Toms,Analyst,RBC,"Good morning, both. Thank you for taking my questions. The first one is on capital, please. In relation to your CET1 ratio guidance of 14% to 14.5%, before today, this used to have a caveat: you’d aim to manage this down further over time. I just note that that hasn’t been mentioned in today’s update. What are your latest thoughts on your medium- term ambitions for the CET1 ratio and has there been any change in sentiment? And then, secondly, on costs in relation to your $1.5 billion of savings, you note that they will be taken to the bottom line, although presumably there’ll be offsets from drivers such as inflation. Maybe you could just clarify directionally what you expect the shape of costs will do coming out of 2025 and going into 2026 and 2027? Thank you.",2024,Q4,False,250220-4q-2024-annual-results-to-investors-and-analysts-transcript.pdf
