,section,question_number,answer_number,speaker_name,role,company,content,year,quarter,is_pleasantry,source_pdf,role_normalised
98,presentation,,,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thank you and good morning, everyone. Starting on page 1, the Firm reported net income of $14.6 billion, EPS of $5.07 on revenue of $46 billion, with an ROTCE of 21%. These results included a First Republic-related gain of $588 million, which was previously disclosed in the 10-K. On page 2, we have more on our first-quarter results. The Firm reported revenue of $46 billion, up $3.5 billion, or 8% year-on-year. NII ex. Markets was down $430 million, or 2%, driven by the impact of lower rates and deposit margin compression, as well as lower deposit balances in CCB. This was predominantly offset by higher Card revolving balances, the impact of securities activity, including from prior quarters, as well as higher wholesale deposits. NIR ex. Markets was up $2.2 billion, or 20%, and excluding the significant item I just mentioned, was up 14%, largely on higher asset management fees, lower net investment securities losses and higher investment banking fees. And Markets revenue was up $1.7 billion, or 21%. Expenses of $23.6 billion were up $840 million, or 4%, largely driven by compensation, including growth in employees across the front office and technology, higher brokerage and distribution fees, as well as marketing and legal expense. The quarter also reflected a $323 million release of the FDIC special assessment accrual compared with a $725 million increase in the prior quarter. Credit costs were $3.3 billion, with net charge-offs of $2.3 billion and a net reserve build of $973 million. We have more details on the reserve build on page 3. With this quarter's reserve build, the Firm’s total allowance for credit losses is $27.6 billion. Let's take a second to add a little bit of context to our thinking surrounding this number in light of the unique environment of the last several weeks. Our first quarter allowance is anchored on the relatively benign central case economic outlook, which was in effect at the end of the quarter. But, in light of the significantly elevated risks and uncertainties at the time, we increased the probability weightings associated with the downside scenarios in our CECL framework. As a result, the weighted-average unemployment rate embedded in our allowance is 5.8%, up from 5.5% last quarter, driving the $973 million increase in the allowance. So with that in mind, the consumer build of $441 million was driven by changes in the weighted-average macroeconomic outlook. The wholesale build of $549 million was predominantly driven by credit quality changes on certain exposures and net lending activity, as well as changes in the outlook. In addition, it's important to note that the increase in the allowance is not, to any meaningful degree, driven by deterioration in the actual credit performance in the portfolio, which remains largely in line with expectations. With that, let's go to the balance sheet and capital on page 4. We ended the quarter with a CET1 ratio of 15.4%, down 30 basis points versus the prior quarter as net income and OCI gains were more than offset by capital distributions and higher RWA. This quarter, the Firm distributed $11 billion of capital to shareholders, which reflects $7.1 billion of net common share repurchases and the payment of our common dividend, which has been increased to $1.40 per share. This quarter's higher RWA is primarily driven by overall business growth in Markets and some seasonal effects. Now let's go to our businesses, starting with CCB on page 5. Consumers and small businesses remain financially healthy. Despite the recent downtrends in consumer and small business sentiment, based on our data, spend, cash buffers, payment to income ratios, and credit utilization are all in line with our expectations. Moving to the financial results, CCB reported net income of $4.4 billion on revenue of $18.3 billion, which was up 4% year-on-year. In Banking & Wealth Management, revenue was down 1% year-on-year, driven by lower deposit NII, predominantly offset by growth in Wealth Management revenue. Average deposits were down 2% year-on-year and flat sequentially, while end of period deposits were up 2% quarter-on-quarter. Client investment assets were up 7% year-on-year, predominantly driven by market performance, and we continue to see strong flows into managed products. In Home Lending, revenue was up 2% year-on-year and originations were up 42% year-on-year, off a small base in a slowly growing market. Turning to Card Services & Auto, revenue was up 12% year-on-year, predominantly driven by Card NII on higher revolving balances as well as higher operating lease income in Auto. Card outstandings were up 10%, due to strong account acquisition. And in Auto, originations were $10.7 billion, up 20%, driven by higher lease volume. Expenses of $9.9 billion were up 6% year-on-year, predominantly driven by growth in marketing and technology, higher field compensation, as well as higher auto lease depreciation. Credit costs were $2.6 billion, reflecting net charge-offs of $2.2 billion, up $275 million year-on-year, predominantly driven by the seasoning of recent vintages in Card with delinquencies and losses in line with expectations. The net reserve build was $475 million, of which $400 million was in Card. Next, the Commercial & Investment Bank on page 6. CIB reported net income of $6.9 billion on revenue of $19.7 billion, which was up 12% year- on-year. IB fees were up 12% year-on-year, and we ranked number one with wallet share of 9%. In Advisory, fees were up 16%, benefiting from the closing of deals announced in 2024. Net underwriting fees were up 16%, primarily driven by elevated refinancing activity, particularly in Leveraged Finance. In Equity underwriting, fees were down 9% year-on-year, reflecting challenging market conditions. In light of market conditions, we are adopting a cautious stance on the Investment Banking outlook. While client engagement and dialog is quite elevated, both the conversion of the existing pipeline and origination of new activity will require a reduction in the current levels of uncertainty. Payments revenue was up 3% year-on-year excluding equity investments, driven by higher deposit balances and fee growth, predominantly offset by deposit margin compression. Lending revenue was up 11% year-on-year, driven by lower losses on hedges, partially offset by lower balances. Moving to Markets, total revenue was up 21% year-on-year, reflecting record performance in Equities. Fixed Income was up 8% with better performance in Rates and Commodities against a relatively weak prior-year quarter. Equities was up 48% as the business performed well during a period of elevated volatility, supported by higher client activity and strong monetization of flows, particularly in Derivatives. Securities Services revenue was up 7% year-on-year, driven by fee growth and higher deposit balances, partially offset by deposit margin compression. Expenses of $9.8 billion were up 13% year-on-year, predominantly driven by higher compensation, legal and brokerage expense. Average Banking & Payments loans were down 3% year-on-year and down 1% sequentially as we continued to observe payoff activity and limited demand for new loans across client segments. Average client deposits were up 11% year-on-year and up 2% sequentially, reflecting increased activity across Payments and Securities Services. Finally, credit costs were $705 million, largely driven by the net reserve build. Then to complete our lines of business, Asset & Wealth Management on page 7. AWM reported net income of $1.6 billion with pre-tax margin of 35%. Revenue of $5.7 billion was up 12% year-on-year, predominantly driven by growth in management fees on strong net inflows and higher average market levels, as well as higher brokerage activity and higher deposit balances. Expenses of $3.7 billion were up 7% year-on-year, largely driven by higher compensation, including revenue-related compensation and continued growth in our private banking advisor teams, as well as higher distribution fees. Long-term net inflows were $54 billion for the quarter, primarily driven by Equity and Fixed Income. In liquidity, we saw net inflows of $36 billion. AUM of $4.1 trillion and client assets of $6 trillion were both up 15% year-on-year, driven by continued net inflows and higher market levels. And finally, loans were up 5% year-on-year and flat quarter-on-quarter, and deposits were up 7% year-on-year and down 2% sequentially. Turning to Corporate on page 8. Corporate reported net income of $1.7 billion. Revenue of $2.3 billion was up $102 million year-on-year. NII of $1.7 billion was down $826 million year-on-year. NIR was a net gain of $653 million compared with a net loss of $275 million in the prior year. The current quarter included the significant item I mentioned upfront, while the prior-year quarter included net securities losses of $336 (sic) [$366] million. Expenses of $185 million were down $1.1 billion year-on-year, driven by the changes to the FDIC special assessment accruals I mentioned upfront. To finish up, let's turn to the full year outlook on page 9. We continue to expect NII ex. Markets to be approximately $90 billion. The Firmwide NII outlook has increased to about $94.5 billion, reflecting an increase in Markets NII, which you should think of as being primarily offset in NIR. Our adjusted expense outlook continues to be about $95 billion. And on credit, we expect the Card net charge-off rate to be in line with our previous guidance of approximately 3.6%. So to wrap up, we're pleased with another quarter of strong operating performance – but of course, the focus right now is on the future, which is obviously unusually uncertain. But no matter what outcomes eventually materialize, we are eager to do our part to continue to support our clients, the markets and the broader economy, and we believe the banking system will be a source of strength in this dynamic environment. And with that, let's open the line for Q&A.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
99,qa,1.0,,Ken Usdin,analyst,Autonomous Research,"Good morning, Jeremy. Wondering if you could start by just kind of amplifying just the macro commentary that you started off on. And given the uncertainty in the world that you referenced, just how are you seeing the activity change across the customer base from consumers to wholesale? And can you just talk through how that's also just informing any changes in your – some of your growth and reserving expectations? Thanks.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
100,qa,1.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Sure, Ken. So I mean, at a high level, I would say that obviously, some of the salient news flow is quite recent. So, we've done some soundings and some checking both on the consumer side and on the wholesale side. I think on the consumer side, the thing to check is the spending data. And to be honest, the main thing that we see there, what would appear to be a certain amount of frontloading of spending ahead of people expecting price increases from tariffs. So ironically, that's actually somewhat supportive, all else equal. But I think what it sort of highlights is that during this transitional period and this elevated uncertainty, you might see some distortions in the data that make it hard to draw larger conclusions. In terms of our corporate clients, obviously, they've been reacting to the changes in tariff policy. And at the margin, that shifts their focus away from more strategic priorities with obvious implications for the Investment Banking pipeline outlook towards more short-term work, optimizing supply chains and trying to figure out how they're going to respond to the current environment. So as a result, I think we would characterize what we're hearing from our corporate clients as a little bit of a wait-and-see attitude. I do think you see obvious differences across sectors. Some sectors are going to be much more exposed than others and have more complicated problems to solve. And also across the size of the clients, I think smaller clients, small business and smaller corporates are probably a little bit more challenged. I think the larger corporates have a bit more experience dealing with these things and more resources to manage. So that's a little bit our read of the situation right now. But certainly, a bit of a wait-and-see attitude. It's hard to make long-term decisions right now, and so we'll see how that plays out.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
101,qa,2.0,,Ken Usdin,analyst,Autonomous Research,"Yeah. And just one question on the NII ex. Markets holding at $90 billion. Can you just walk us through the puts and takes of just what's the new curve you're using, which also is subject to change every day and what might have been some of the positive offsets to if you put in more expected cuts than you had before? Thanks.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
102,qa,2.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, that's a good question, Ken. You're right. So if you remember, last quarter we said that we had one cut in the curve. I think latest curve has something like three cuts. And so, we've talked a lot, obviously, about how we are asset sensitive. You now see our EaR disclosed in the supplement, and probably our empirical EaR is a little bit higher than our modeled EaR as a result of the relatively low – lower than modeled rates paid in Consumer. So when you put that together, all else equal, the drop in the weighted-average IORB, which is about 22 basis points, should produce a notable headwind in our NII ex. Markets.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
103,qa,2.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,In the curve basically.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
105,qa,2.0,3.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,This is guaranteed not to happen.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
106,qa,2.0,4.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"So that's mechanically just flowing through the curve. So yeah, your question is that given that, why are you not revising down? And the answer to that is that across all the puts and takes actually, our number is a tiny bit lower. It's just not enough to warrant a change in the outlook. But we do have some offsets. So we have some balance effects that are favorable. You will have noted that I talked about higher wholesale deposit balances, for example. We see beta outperforming in a couple of different places in CDs and in wholesale. The other thing is that you'll recall, we talked before about having a placeholder in our NII outlook for the potential impact of the Card late fee rule. We've now removed that. So that's a little bit of an offset as well. So that's kind of how you get to unchanged, even though clearly, all else equal, the lower expected front-end rates are a headwind. Operator: Thank you. Our next question comes from Erika Najarian with UBS. You may proceed.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
107,qa,3.0,,Erika Najarian,analyst,UBS Securities LLC,"Yes. Good morning. This question is for Jamie. Jamie, you were on the media today talking about potential economic turbulence. But Jeremy also mentioned that banking should be – the banking system should be a source of strength in this turbulence. The equity market always seems to think about the banks as weaker players given how they trade the stocks more on sentiment and fear rather than the math of – the ability of banks to absorb provisions going forward, if we do fall into a slower economic downturn. So, I guess, just the question here is, can you double-click on how you think this is going to impact the economy going forward and maybe double-click on Jeremy's statement that the banking system should be a source of strength?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
108,qa,3.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"I just – before Jamie answers that, Erika, I just want to make one brief comment, which is the banking system being a source of strength means what it says. In other words, banks doing their job to support the economy. That's not a statement about bank equity performance and the extent to which banks are cyclical or not. Like obviously, a recessionary environment, as I've frequently said, all else equal, is bad for banks from an equity performance perspective. We're talking about the financial strength of banks' balance sheets and our ability to support our clients in a difficult moment.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
