chunk_id,summary,pra_categories,supporting_evidence
1,"Jeremy Barnum discussed the impact of uncertainty on consumer and corporate spending, as well as the potential for distortions in data and the impact of lower expected front-end rates on NII ex. Markets. He also mentioned that smaller clients may be more challenged during this period.","[{'name': 'Customer outcomes and market integrity', 'why': 'Barnum discussed the impact of uncertainty on consumer spending, which could lead to distortions in data and make it hard to draw larger conclusions.'}, {'name': 'Liquidity', 'why': 'The lower expected front-end rates have produced a notable headwind in NII ex. Markets, which is asset sensitive.'}]","['Jeremy Barnum, Chief Financial Officer of JPMorganChase, discussed the impact of uncertainty on consumer and corporate spending.', 'Barnum also mentioned that smaller clients may be more challenged during this period.', ""The company's NII ex. Markets holding at $90 billion is subject to change every day and has been affected by lower expected front-end rates.""]"
2,,,
3,,,
4,"JPMorgan Chase reported lower margin and cash buffers in their Q1 earnings call, with some rotation of spend and weaker spending than peak moments. However, increases in spending are coming from the lower income segment, and there is no evidence of distress. In terms of credit risk, counterparty default/credit deterioration; provisioning, NPLs, concentration were noted as potential risks. Stress testing was also mentioned as an area of focus, with outcomes under stress scenarios and capital and liquidity impacts being considered.","[{'name': 'Credit risk', 'why': 'Counterparty default/credit deterioration; provisioning, NPLs, concentration.'}, {'name': 'Stress testing', 'why': 'Outcomes under stress scenarios; capital and liquidity impacts.'}]","['Margin and cash buffers are lower', 'Spend is weaker than peak spending moments', 'Increases in spending coming from lower income segment', 'No evidence of distress']"
5,,,
6,,,
7,,,
8,"JPMorgan Chase's average loan growth was running at about 2% year-on-year. At the end of the period, end of period loans were up 5% and wholesale loans were up 7%. There was no observable draws from clients in the wholesale market. Markets loans are seeing more growth than traditional C&I loans in the current moment. The front end of the yield curve, liquidity is functioning smoothly.","[{'name': 'Liquidity', 'why': 'Ability to meet obligations as they fall due; LCR/NSFR, funding profile, stress outflows.'}, {'name': 'Customer outcomes and market integrity', 'why': 'Mis-selling, conflicts.'}]","['Average loan growth was running at about 2% year-on-year.', 'End of period loans were up 5% and wholesale loans were up 7%.', 'There was no observable draws from clients in the wholesale market.', 'Markets loans are seeing more growth than traditional C&I loans in the current moment.', 'The front end of the yield curve, liquidity is functioning smoothly.']"
9,,,
10,,,
11,"JPMorgan Chase is working on streamlining its operations to reduce costs. The company has a significant amount of savings and other cost-saving measures in place. Jamie Dimon, Chairman & CEO of JPMorgan Chase, apologizes to shareholders for not doing this sooner. HSBC Securities (USA), Inc. analyst Saul Martinez thanks the company for being clear and helpful. Jeremy Barnum, Chief Financial Officer of JPMorgan Chase, thanks the analysts for their questions.","[{'name': 'Liquidity', 'why': 'Ability to meet obligations as they fall due; LCR/NSFR, funding profile, stress outflows.'}, {'name': 'Governance', 'why': 'Board oversight, controls, risk culture, remuneration alignment.'}]","['JPMorgan Chase is working on streamlining its operations to reduce costs.', 'The company has a significant amount of savings and other cost-saving measures in place.', 'Jamie Dimon, Chairman & CEO of JPMorgan Chase, apologizes to shareholders for not doing this sooner.', 'HSBC Securities (USA), Inc. analyst Saul Martinez thanks the company for being clear and helpful.', 'Jeremy Barnum, Chief Financial Officer of JPMorgan Chase, thanks the analysts for their questions.']"
12,,,
13,"JPMorgan is involved in fintech and payment systems, and is interested in open banking but waiting for clarity from the CFPB. JPMorgan supports customer control over data sharing in open banking and believes that third parties should be responsible for frauds that occur through their social media platforms. JPMorgan is focused on liquidity and risk management.","[{'name': 'Liquidity', 'why': 'Ability to meet obligations as they fall due; LCR/NSFR, funding profile, stress outflows.'}, {'name': 'Risk management', 'why': 'Risk frameworks, appetite, limits, aggregation, challenge.'}]","['JPMorgan is involved in fintech and payment systems.', 'JPMorgan is interested in open banking but is waiting for clarity from the CFPB.', 'JPMorgan supports customer control over data sharing in open banking.', 'JPMorgan wants to ensure that customers understand what data is being shared and has a time limit on sharing.', 'JPMorgan believes that third parties should be responsible for frauds that occur through their social media platforms.']"
14,"JPMorgan Chase is considering issuing a joint stablecoin with other banks and is thinking about all the data related to interoperability of stablecoins and deposits. The company's focus on liquidity and credit risk is evident in its consideration of stress outflows, counterparty default/credit deterioration, provisioning, NPLs, and concentration.","[{'name': 'Liquidity', 'why': 'Ability to meet obligations as they fall due; LCR/NSFR, funding profile, stress outflows.'}, {'name': 'Credit risk', 'why': 'Counterparty default/credit deterioration; provisioning, NPLs, concentration.'}]","['JPMorgan Chase is considering issuing a joint stablecoin with other banks, similar to Zelle.', 'Interoperability of stablecoins and deposits is an important consideration for JPMorgan Chase.', 'The company is thinking about all the data related to interoperability of stablecoins and deposits.']"
15,,,
16,,,
17,,,
18,,,
19,"JPMorgan Chase's recent Sapphire price changes have been well received by customers and the market. The customer value proposition associated with the card has increased dramatically, and the ratio of customer value to annual fee is market leading. The trading side of JPMorgan Chase's business has shown strong results this quarter, despite environmental factors. Liquidity and risk management are important categories for JPMorgan Chase.","[{'name': 'Liquidity', 'why': 'Ability to meet obligations as they fall due; LCR/NSFR, funding profile, stress outflows.'}, {'name': 'Risk management', 'why': 'Risk frameworks, appetite, limits, aggregation, challenge.'}]","['Sapphire price changes have been well received by customers and the market.', 'The customer value proposition associated with the Sapphire card has increased dramatically.', 'The ratio of customer value to annual fee is market leading.', ""The trading side of JPMorgan Chase's business has shown strong results this quarter, despite environmental factors.""]"
20,,,
21,,,
22,,,
23,"JPMorgan Chase reported an increase in net income for the second quarter of 2025. The increase was due to hedging, late quarter assets coming on the balance sheet, loans, and Markets NII. However, there is insufficient evidence to determine if liquidity or credit risk played a role in the increase in net income.","[{'name': 'Liquidity', 'why': 'Ability to meet obligations as they fall due; LCR/NSFR, funding profile, stress outflows.'}, {'name': 'Credit risk', 'why': 'Counterparty default/credit deterioration; provisioning, NPLs, concentration.'}]","['Hedging is part of the increase in net income.', 'Late quarter assets came on the balance sheet.', 'Loans are a part of the increase in net income.', 'Markets NII is a part of the increase in net income.']"
