bank,year,quarter,pra_category,summary,n_pairs,median_evasion
JPM,2023,Q1,Capital adequacy,"The market would take loans at much lower capital ratio than banks are being forced to hold for them . So that's why you're seeing a lot of capital go to non-banks, and dramatically, by the way . If you believe it's a good idea, raise the capital and more credit will go out of the system . That's fine. If that's what they want, that's fine . But they should do it with a forethought, not accidentally .",3,0.600600004196167
JPM,2023,Q1,Capital risk,"We expect higher capital from Basel IV, effectively and, obviously there's going to be an FDIC assessment – that'll be what it is . The outcome you should want is very strong community and regional banks, and certain actions are taken which are drastic – it could actually make them weaker . The market would take loans at much lower capital ratio than banks are being forced to hold for them .",5,0.6190999746322632
JPM,2023,Q1,Credit risk,"The large majority of our commercial real estate exposure is multi-family lending in supply constrained markets . Housing is in short supply in America. Housing is not massively oversupplied like you saw in 2008 . Our office exposure is very concentrated in Class A buildings in dense urban locations . People need to be prepared for the potential of higher rates for longer . The relationship between our short-term NII evolution and the curve is not always going to be clear in any given moment . That number, you could imagine – this is a little inside baseball now – the number that we're talking about for 2024 is not based upon an implied curve . The market would take loans at much lower capital ratio than banks are being forced to hold for them . But I think they have already – as the Fed has raised rates, you've already seen – that's the reason we expected outflows both from consumers and corporate customers . We had revolving balances obviously drop a lot during the pandemic period and then we talked about having them recover in absolute dollar terms to the same level as we'd had pre-pandemic, which I think happened last quarter . And then the remaining narrative is just the further normalization of the revolve per-account, because we also have seen some account growth, and that continues to happen .",13,0.732699990272522
JPM,2023,Q1,Governance,"Go ahead, go ahead. Go ahead . Go ahead. Have you got a view of the debate? Please submit your view at the end of each other's view at http://www.mailonline.com/report-findings-to-the-view/allocations-only .",1,0.4397999942302704
JPM,2023,Q1,Liquidity,"The short-term CD, in particular, is really getting a lot of positive feedback from our folks in the branches. It's been very attractive to yield-seeking customers. And then on the asset side, we are seeing a little bit higher Card revolve, which is helping . We're quite cautious in that and quite thoughtful about that .",8,0.7539499998092651
JPM,2023,Q1,Liquidity risk,"There's no pricing power for the bank, but obviously we all have different franchises and we're all in a slightly different position . What I would call more like operational cash – so think even of a small companies, middle market companies, et cetera – that tends to be fairly sticky . And that's why I think you see lot of regional banks – they've got sticky middle market deposits .",2,0.804099977016449
JPM,2023,Q1,Market risk,"The short-term CD, in particular, is really getting a lot of positive feedback from our folks in the branches. It's been very attractive to yield-seeking customers. And then on the asset side, we are seeing a little bit higher Card revolve, which is helping . The outcome you should want is very strong community and regional banks, and certain actions are taken which are drastic – it could actually make them weaker . The large majority of our commercial real estate exposure is multi-family lending in supply constrained markets . Housing is in short supply in America. Housing is not massively oversupplied like you saw in 2008 . The larger Corporate segment within the Commercial Bank that would generally have access to capital markets but also access to bank lending, at the margin is choosing to draw down revolvers . The relationship between our short-term NII evolution and the curve is not always going to be clear in any given moment . The number that we're talking about for 2024 is not based upon an implied curve . It's based upon us looking at multiple potential scenarios, leveling them out and saying this is kind of a range . And 2024, we know very little. That number, you could imagine – this is a little inside baseball now – and you're absolutely correct .",21,0.7501999735832214
JPM,2023,Q1,Model risk,"The stress test – the CCAR stress test, as you know, had rates going down . So we've been quite cautious on interest rates for quite a while, and how we invest our portfolio, what our expectations are, our stress testing . And look, we like to help the system when it needs help, if we can reasonably . And we're not the only ones, you saw a lot of banks do that, and I was proud of them. I think all of us did the right thing . I think all of us did the right thing. Whether ultimately it works out or not, well, you could second-guess that when it happens. But the fact is, I think people want to help the system. And I knew that the second I saw the headline, and then you had Credit Suisse . We want healthy community banks. We want them to get through this. We have the best financial system the world's ever seen .",1,0.847100019454956
JPM,2023,Q1,Operational risk,"It's not meaningfully affecting our current outlook – we don't see it as a major driver . But from where we are right now, the base case is no real impact . A very serious recession is of course going to be a headwind for returns, but we think even in a fairly severe recession, we'll deliver very good returns .",4,0.7290000021457672
JPM,2023,Q1,Risk management,"We do expect higher capital from Basel IV, effectively and, obviously there's going to be an FDIC assessment – that'll be what it is . The outcome you should want is very strong community and regional banks, and certain actions are taken which are drastic – it could actually make them weaker. So, that's all it is. We don't mind keeping our powder dry . We've got our smartest people, we’re going to figure out every angle to reduce capital requirements for JPMorgan . And we've been doing it, but there's securitizations, there are partnerships. And I expect that we're going to come up with a whole bunch of different things over time. And we'll shed certain assets, too. We don't mind keeping our powder dry .",2,0.4161999896168709
JPM,2023,Q1,Stress testing,"We have previously said that we were targeting 13.5% in the first quarter of 2024 as a function of assuming an unchanged SCB, the increased GSIB step and operating with a 50-basis-point buffer . For planning purposes right now, we're assuming flat for SCB and we'll know soon enough what that actual number is .",3,0.732699990272522
JPM,2023,Q2,Capital adequacy,"Generally speaking, we're always going to try to comply with new requirements early . But that's not the same as saying that there won't be consequences to returns or to pricing . In the end, when we have nothing else to do with the money, we'll do buybacks. We talked about the $12 billion for this year. Obviously a lot of new moving parts there .",2,0.6381500065326691
JPM,2023,Q2,Capital risk,"The 17% through-the-cycle ROTCE target was premised on a sort of normalized rate environment . But in the context of the proposed Basel III Endgame, one relevant question might be if you have a lot more capital in the denominator, what happens to that target? Jamie Drexler: We feel very confident about the company's ability to produce excellent returns through the cycle .",11,0.7666000127792358
JPM,2023,Q2,Conduct risk,"It's unlikely, obviously. That would be an unlikely outcome . Sorry, John. Go ahead. Did you have a follow-up? Go ahead, John . It was unlikely. It would be unlikely to be a repeat of the same thing, John says . But it's unlikely that it will happen again.",1,0.5843999981880188
JPM,2023,Q2,Credit risk,"The headwinds are substantial and somewhat unprecedented, says Mark Greenhill . Greenhill: We don't know if those things could put us in a soft landing, a mild recession or a hard recession . There is very little pricing power in most of our business, and betas are going to go up .",12,0.7736000120639801
JPM,2023,Q2,Liquidity,"The most important point is the fact that, as I said earlier, we don't consider this level of NII generation to be sustainable . The straight-up math of diluting down the ROTCE by expanding the denominator misses the possibility of repricing, repricing of products and services, which of course goes back to our point that these capital increases do have impacts on the real economy .",12,0.7986499965190887
JPM,2023,Q2,Liquidity risk,"Deposit numbers have bounced around a little bit as a function of some of the turmoil that we saw in regional banks as well as obviously the First Republic transaction . But now, if you look at our kind of end-of-period deposits this quarter and you project forward, our core view is that we would expect a modest downward trend to re-assert itself . There is very little pricing power in most of our business and betas are going to go up . There is no circumstance that we've ever seen in the history of banking where rates didn't get to a certain point that you had to have competing products . And rates go up through migration or direct rates or movement to CDs or money market funds . We'll adjust accordingly in terms of our asset and liability mix across different products .",3,0.8040000200271606
