bank,year,quarter,question_number,question_text,answer_text,pra_categories,pra_sim,qa_similarity,hedge_count,ans_to_q_len_ratio,fk_grade_answer,evasion_score,evasive_flag
JPM,2023,Q1,1.0,"Got it. And just in terms of appetite for the buyback, just given some of the... ...elevated macro uncertainties. That's great. I'll hop back into the queue. Thanks so much for taking my questions. Got it. And just in terms of appetite for the buyback, just given some of the... ...elevated macro uncertainties. That's great. I'll hop back into the queue. Thanks so much for taking my questions.","Well, I think you were already kind of complete with answering your own question there. Look, we're hoping that everyone just takes a deep breath and looks at what happened and the breadth and depth of regulations already in place. Obviously, when something happens like this, you should adjust, think about it. So I think down the road there may be some limitations on held-to-maturity, maybe more TLAC for certain type-size banks, and more scrutiny on interest rate exposure, and stuff like that. But it doesn't have to be a revamp of the whole system, just recalibrating things the right way. And I think it should be done knowing what you want the outcome to be. The outcome you should want is very strong community and regional banks. And certain actions are taken which are drastic – it could actually make them weaker. So, that's all it is. We do expect higher capital from Basel IV, effectively and, obviously there's going to be an FDIC assessment – that'll be what it is. Oh, yeah. Well, we've told you that we're kind of penciling in $12 billion for this year. Obviously, capital is more than that, but – and we did a little bit of buyback this quarter. We're going to wait and see. We don't mind keeping our powder dry, and you've seen us do that with investment portfolios, and we're also going to do that with capital. Okay. Operator: Thank you. The next question comes from the line of Ken Usdin with Jefferies. You may proceed. Well, I think you were already kind of complete with answering your own question there. Look, we're hoping that everyone just takes a deep breath and looks at what happened and the breadth and depth of regulations already in place. Obviously, when something happens like this, you should adjust, think about it. So I think down the road there may be some limitations on held-to-maturity, maybe more TLAC for certain type-size banks, and more scrutiny on interest rate exposure, and stuff like that. But it doesn't have to be a revamp of the whole system, just recalibrating things the right way. And I think it should be done knowing what you want the outcome to be. The outcome you should want is very strong community and regional banks. And certain actions are taken which are drastic – it could actually make them weaker. So, that's all it is. We do expect higher capital from Basel IV, effectively and, obviously there's going to be an FDIC assessment – that'll be what it is. Oh, yeah. Well, we've told you that we're kind of penciling in $12 billion for this year. Obviously, capital is more than that, but – and we did a little bit of buyback this quarter. We're going to wait and see. We don't mind keeping our powder dry, and you've seen us do that with investment portfolios, and we're also going to do that with capital. Okay. Operator: Thank you. The next question comes from the line of Ken Usdin with Jefferies. You may proceed.","['Capital risk', 'Risk management', 'Market risk']",0.30677738785743713,0.23724598,3,7.292929292929293,,0.6190999746322632,False
JPM,2023,Q1,2.0,,"Yeah, sure. So let me just summarize the drivers of the change in the outlook. So the primary driver really is lower deposit rate paid expectations across both consumer and wholesale, which, as you mentioned, is driven by a couple factors. So, the change in the rate environment, with cuts coming sooner in the outlook, all else equal, does take some pressure off the reprice. And as you said, we're getting a lot of positive feedback from the field on our product offerings. The short-term CD, in particular, is really getting a lot of positive feedback from our folks in the branches. It's been very attractive to yield-seeking customers. So that's kind of working well. And then on the asset side, we are seeing a little bit higher Card revolve, which is helping. And I'll just remind you that at a conference in February, I suggested that we were already starting to feel like some of the uncertainties we mentioned when giving the guidance had started all moving in the same direction, and that was one of the things that contributed to the upward revision, like all of the uncertainty kind of went the same way. But as Jamie's pointed out – those uncertainties are all still there, we highlight them on the page, and as we look forward to this year and to next year and the medium-term we remain very focused on those. Yeah, sure. So let me just summarize the drivers of the change in the outlook. So the primary driver really is lower deposit rate paid expectations across both consumer and wholesale, which, as you mentioned, is driven by a couple factors. So, the change in the rate environment, with cuts coming sooner in the outlook, all else equal, does take some pressure off the reprice. And as you said, we're getting a lot of positive feedback from the field on our product offerings. The short-term CD, in particular, is really getting a lot of positive feedback from our folks in the branches. It's been very attractive to yield-seeking customers. So that's kind of working well. And then on the asset side, we are seeing a little bit higher Card revolve, which is helping. And I'll just remind you that at a conference in February, I suggested that we were already starting to feel like some of the uncertainties we mentioned when giving the guidance had started all moving in the same direction, and that was one of the things that contributed to the upward revision, like all of the uncertainty kind of went the same way. But as Jamie's pointed out – those uncertainties are all still there, we highlight them on the page, and as we look forward to this year and to next year and the medium-term we remain very focused on those.","['Market risk', 'Liquidity']",0.3401808738708496,0.088221245,2,2650.0,,0.7954999804496765,True
JPM,2023,Q1,3.0,Okay. Thank you very much. Operator: Thank you. The next question comes from the line of John McDonald with Autonomous Research. You may proceed. Okay. Thank you very much. Operator: Thank you. The next question comes from the line of John McDonald with Autonomous Research. You may proceed.,"Well first of all, I don't quite believe it. So the Fed has the rate curve, the forward short-term rate curve, almost at 1% higher than what the market has. So one of the things you got to always prepare for is – it could be anything, we don't know what the rate curve is going to be in a year. And so we're quite cautious in that and quite thoughtful about that. Obviously, the short-term read is higher recessionary risk and then inflation coming down. So I think inflation will come down a little bit, but it could easily be stickier than people think and therefore, the rate curve will have to go up a little bit. Well first of all, I don't quite believe it. So the Fed has the rate curve, the forward short-term rate curve, almost at 1% higher than what the market has. So one of the things you got to always prepare for is – it could be anything, we don't know what the rate curve is going to be in a year. And so we're quite cautious in that and quite thoughtful about that. Obviously, the short-term read is higher recessionary risk and then inflation coming down. So I think inflation will come down a little bit, but it could easily be stickier than people think and therefore, the rate curve will have to go up a little bit.","['Market risk', 'Liquidity']",0.2864709496498108,0.05380433,2,4.232876712328767,,0.7577000260353088,True
JPM,2023,Q1,4.0,,"Yeah. John, it's a really good question, and we've obviously thought about that. But as we sit here today, I guess I have two answers to that. One is it's not meaningfully affecting our current outlook – we don't see it as a major driver. And I think in terms of the larger dynamics that you lay out, it's just a little too early to tell. But from where we are right now, the base case is no real impact. Yeah. John, it's a really good question, and we've obviously thought about that. But as we sit here today, I guess I have two answers to that. One is it's not meaningfully affecting our current outlook – we don't see it as a major driver. And I think in terms of the larger dynamics that you lay out, it's just a little too early to tell. But from where we are right now, the base case is no real impact.","['Operational risk', 'Market risk']",0.2600117027759552,0.045258526,2,810.0,,0.8464000225067139,True
JPM,2023,Q1,5.0,,"Yeah. I wouldn't use the word credit crunch if I were you. Obviously, there's going to be a little bit of tightening, and most of that will be around certain real estate things. And you've heard it from real estate investors already, so I just look at that as a kind of thumb on the scale. It just makes the Fed's conditions be a little bit tighter, it increases the odds of a recession – that's what that is. It's not like a credit crunch. Operator: Thank you. Our next question comes from Erika Najarian with UBS. You may proceed. Yeah. I wouldn't use the word credit crunch if I were you. Obviously, there's going to be a little bit of tightening, and most of that will be around certain real estate things. And you've heard it from real estate investors already, so I just look at that as a kind of thumb on the scale. It just makes the Fed's conditions be a little bit tighter, it increases the odds of a recession – that's what that is. It's not like a credit crunch. Operator: Thank you. Our next question comes from Erika Najarian with UBS. You may proceed.","['Credit risk', 'Market risk']",0.3402949571609497,0.007321478,3,1066.0,,0.8913000226020813,True
JPM,2023,Q1,6.0,,"Yeah. So, Erika, as you know, we take – not going to go into a lot of detail here – but we take the outlook from our economists, we run a bunch of different scenarios and we probability-weight those. The central case outlook from our research team hasn't actually changed, but we felt that in line with what Jamie just said in terms of a little bit of tightening as a result of the events of March, it made sense to add a little bit of weight to our relative adverse case. So we did that, which changed the weighted-average expectation. And I think that the weighted-average peak unemployment that we're using now is something like 5.8%. Yeah. So, Erika, as you know, we take – not going to go into a lot of detail here – but we take the outlook from our economists, we run a bunch of different scenarios and we probability-weight those. The central case outlook from our research team hasn't actually changed, but we felt that in line with what Jamie just said in terms of a little bit of tightening as a result of the events of March, it made sense to add a little bit of weight to our relative adverse case. So we did that, which changed the weighted-average expectation. And I think that the weighted-average peak unemployment that we're using now is something like 5.8%.","['Capital adequacy', 'Market risk']",0.22268253564834595,0.011853833,2,1276.0,,0.8859999775886536,True
JPM,2023,Q1,7.0,Thank you. Operator: The next question comes from the line of Jim Mitchell from Seaport Global Securities. You may proceed. Thank you. Operator: The next question comes from the line of Jim Mitchell from Seaport Global Securities. You may proceed.,"It's a great question, so I want to see how Jeremy answers it. Okay. Let's take a crack. Let's see what the boss thinks. I think number one, we believe, have said, and continue to believe that this is fundamentally a 17% through the cycle ROTCE franchise, so number one. Number two, as Jamie always says, we run this company for all different scenarios and to have it be as resilient as possible across all different scenarios. On the particular question of ROTCE expectations in 2024 contingent on the particular economic outlook, obviously it depends a lot on the nature of the recession. I think we feel really good about how the company is positioned for a recession, but we're a bank. A very serious recession is of course going to be a headwind for returns, but we think even in a fairly severe recession, we'll deliver very good returns – whether that's 17% or not is too much detail for now. It's a great question, so I want to see how Jeremy answers it. Okay. Let's take a crack. Let's see what the boss thinks. I think number one, we believe, have said, and continue to believe that this is fundamentally a 17% through the cycle ROTCE franchise, so number one. Number two, as Jamie always says, we run this company for all different scenarios and to have it be as resilient as possible across all different scenarios. On the particular question of ROTCE expectations in 2024 contingent on the particular economic outlook, obviously it depends a lot on the nature of the recession. I think we feel really good about how the company is positioned for a recession, but we're a bank. A very serious recession is of course going to be a headwind for returns, but we think even in a fairly severe recession, we'll deliver very good returns – whether that's 17% or not is too much detail for now.","['Market risk', 'Operational risk']",0.3862849473953247,0.24355027,3,7.258064516129032,,0.6115999817848206,False
JPM,2023,Q1,8.0,,"Yeah. A couple things there. So, first of all, we don't know. Right? The deposits just came in. We don't know. We're guessing. Number two, the deposits just came in. So, by definition, these are somewhat flighty deposits because they just came into us, so it's prudent and appropriate for us to assume that they won't be particularly stable. Number three, there's a natural amount of internal migration of deposits to money funds so you have to overlay that and that's embedded in our assumptions. And number four, it's a competitive market, and it's entirely possible that people temporarily come to us and then over time decide to go elsewhere. So, for all of those reasons, we're just being realistic about the stickiness of it. If I add, I would say, categorically, there's no pricing power that the bigger banks have because if you look at the pricing – and we look at pricing sheets all the time – every bank is in a slightly different position and every bank is competing in three-month, six-month, nine-month savings rates. And then you have the online banks, you got treasury bills, you got money market funds. There's no pricing power for the bank, but obviously we all have different franchises and we're all in a slightly different position. Yeah. A couple things there. So, first of all, we don't know. Right? The deposits just came in. We don't know. We're guessing. Number two, the deposits just came in. So, by definition, these are somewhat flighty deposits because they just came into us, so it's prudent and appropriate for us to assume that they won't be particularly stable. Number three, there's a natural amount of internal migration of deposits to money funds so you have to overlay that and that's embedded in our assumptions. And number four, it's a competitive market, and it's entirely possible that people temporarily come to us and then over time decide to go elsewhere. So, for all of those reasons, we're just being realistic about the stickiness of it. If I add, I would say, categorically, there's no pricing power that the bigger banks have because if you look at the pricing – and we look at pricing sheets all the time – every bank is in a slightly different position and every bank is competing in three-month, six-month, nine-month savings rates. And then you have the online banks, you got treasury bills, you got money market funds. There's no pricing power for the bank, but obviously we all have different franchises and we're all in a slightly different position.","['Liquidity risk', 'Liquidity', 'Market risk']",0.28928250074386597,0.020969708,1,2508.0,,0.7501999735832214,True
JPM,2023,Q1,9.0,Okay. Great. Thanks. Operator: The next question comes from the line of Gerard Cassidy with RBC Capital Markets. You may proceed. Okay. Great. Thanks. Operator: The next question comes from the line of Gerard Cassidy with RBC Capital Markets. You may proceed.,"I'd say very modestly, but we look at that all the time. Yeah. And we always say, right, we underwrite through the cycle. And I think notably, we didn't loosen our underwriting standards when all the numbers looked crazy good during the pandemic, and we're not going to overreact now and tighten unreasonably. Some of that correction happens naturally – credit metrics deteriorate for borrowers whether in consumer or wholesale, and that might make them leave our pre- existing risk appetite, but we're not running around aggressively tightening standards right now. I'd say very modestly, but we look at that all the time. Yeah. And we always say, right, we underwrite through the cycle. And I think notably, we didn't loosen our underwriting standards when all the numbers looked crazy good during the pandemic, and we're not going to overreact now and tighten unreasonably. Some of that correction happens naturally – credit metrics deteriorate for borrowers whether in consumer or wholesale, and that might make them leave our pre- existing risk appetite, but we're not running around aggressively tightening standards right now.","['Credit risk', 'Capital risk', 'Market risk']",0.4124159812927246,0.15462378,2,4.361538461538461,,0.64410001039505,False
JPM,2023,Q1,10.0,,"Yeah. So a few things on there, Gerard. So we have previously said that we were targeting 13.5% in the first quarter of 2024 as a function of assuming an unchanged SCB, the increased GSIB step and operating with a 50-basis-point buffer. So, the point that Jamie made a second ago, in light of the environment, Basel IV, dry powder, you know, who knows how we'll tweak that going forward. But that's still our base case assumption. Specifically on the stress test, contrary to what I've heard some people argue, our ability to predict the SCB ahead of time from running our own process is actually quite limited. And you'll remember last year that even though we did predict an increase, we were off by almost a factor of two in terms of how big it wound up being, and that was a big surprise for the whole industry. So, we want to be quite humble about our ability to predict the SCB. But having said that, for right now we are assuming it will be unchanged. There are some tailwinds in there through the OCI, but we believe there will likely be some offsets and harsher credit shocks in the number, so for planning purposes right now we're assuming flat for SCB, and we'll know soon enough what that actual number is. Yeah. So a few things on there, Gerard. So we have previously said that we were targeting 13.5% in the first quarter of 2024 as a function of assuming an unchanged SCB, the increased GSIB step and operating with a 50-basis-point buffer. So, the point that Jamie made a second ago, in light of the environment, Basel IV, dry powder, you know, who knows how we'll tweak that going forward. But that's still our base case assumption. Specifically on the stress test, contrary to what I've heard some people argue, our ability to predict the SCB ahead of time from running our own process is actually quite limited. And you'll remember last year that even though we did predict an increase, we were off by almost a factor of two in terms of how big it wound up being, and that was a big surprise for the whole industry. So, we want to be quite humble about our ability to predict the SCB. But having said that, for right now we are assuming it will be unchanged. There are some tailwinds in there through the OCI, but we believe there will likely be some offsets and harsher credit shocks in the number, so for planning purposes right now we're assuming flat for SCB, and we'll know soon enough what that actual number is.","['Credit risk', 'Stress testing', 'Market risk']",0.31973376870155334,0.035686176,1,2438.0,,0.732699990272522,True
